filename,C_0,tau_0,R_th_0,h_0,T_amp_0,C_1,tau_1,R_th_1,h_1,T_amp_1
15405655414069-r629115-n911952_cleaned.parquet,27.725288079058615,10.573654206446653,0.3813722034662325,2.622110344988848,6.451363188525891,111.56817536096986,23.89754089321689,0.21419675293512971,4.668604851833836,9.900412861483973
15405655414069-r8062914-n139058_cleaned.parquet,74.97031128122684,21.53766265588224,0.28728255609197983,3.4808935620853636,10.06506738342753,70.38794985529867,20.646992863762193,0.29333135723099807,3.409113875310989,10.253687426476748
15405655414069-r8939293-n139058_cleaned.parquet,99.00981790114801,22.427273337574125,0.22651565080107153,4.414705988144769,10.102090518959962,66.0297158691827,15.707569388915148,0.23788636952542402,4.203687676578398,7.234046002775846
15405655414069-r9352821-n911952_cleaned.parquet,77.47621205305789,20.001578959558056,0.2581641310220537,3.8735047972817527,8.099146515088444,43.99664027930869,16.24511748981721,0.3692354094923283,2.708299297120303,8.110929789338293
15405655414069-r9555635-n139058_cleaned.parquet,50.24577981372185,16.972556377420503,0.33779068491609693,2.960413192709526,9.465802613670958,82.74574141197638,23.537930386850544,0.28446092796074374,3.5154212818218826,11.0019094889896
15430532554025-r3041626-n851693_cleaned.parquet,,,,,,153.09117242643103,20.98208872283504,0.13705616326714148,7.296278957195534,8.55817732753171
15556909837714-r3741709-n830961_cleaned.parquet,,,,,,248.26473982645467,18.13303077868352,0.07303909041356059,13.691298650322977,5.903772517335739
15422139476620-r8333645-n911952_cleaned.parquet,225.55410596187102,45.21429421890798,0.20045875035656088,4.988557487369723,24.915869774304653,201.4294467222632,39.66736789721571,0.19692933949180844,5.077963510061925,26.451928968675407
1556113608070-r3879907-n208530_cleaned.parquet,72.88617607408771,6.537780963412762,0.08969850409997095,11.148457937330573,12.415641323514945,75.90258690896286,6.6621245488795005,0.08777203544946387,11.393150391000853,13.02742395105652
15538734191407-r4229531-n976057_cleaned.parquet,,,,,,105.5079194529507,17.320021113310354,0.1641584935340697,6.091673835886284,13.846300460797375
15708427214504-r8579942-n208530_cleaned.parquet,,,,,,103.86997733527325,17.363955669586005,0.1671701112780485,5.981930575715973,8.802175104969358
15750130046382-r4229531-n911952_cleaned.parquet,179.64366670824737,47.6094868223705,0.26502179394774494,3.773274586606914,28.6051058111824,185.11662771346974,52.438939440904406,0.28327514437045226,3.530136758812319,31.554970968476468
15882775351946-r8937440-n830961_cleaned.parquet,,,,,,122.48913500954015,23.90808094496917,0.19518531944165557,5.123336134400816,16.611451790976687
16050417730038-r2652301-n830961_cleaned.parquet,,,,,,149.03498402355916,27.326244176416,0.18335456171885334,5.4539139393398335,20.626962929975203
16050417730038-r3041626-n911952_cleaned.parquet,161.03625310931923,31.29091618612038,0.1943097630623496,5.146421797030974,22.92837691003197,148.48064672469758,26.52505799992749,0.17864320088198696,5.597750124621913,19.54811154835208
16050417730038-r8642123-n911952_cleaned.parquet,,,,,,152.9805164618384,27.22993837751787,0.17799612007657514,5.618099987627782,20.49581270654121
16050417730038-r9189566-n43543_cleaned.parquet,166.26122029870862,30.441601603341773,0.18309502088731042,5.461644970757946,21.471240809192004,153.40005331386928,25.40307806740969,0.16560019060379907,6.038640392585748,19.395897702962344
16165275963595-r8062914-n139058_cleaned.parquet,,,,,,137.27956534986973,25.69104941431898,0.1871440177483295,5.343478311686114,24.754774557112302
16173978461856-r9535192-n976057_cleaned.parquet,227.9352102123848,32.55483463153177,0.14282494837545248,7.001577885197201,23.21886444910192,173.71961321118266,25.157885125656797,0.14481891054565932,6.9051755480836485,23.61770558306797
16217229824252-r9102715-n976057_cleaned.parquet,,,,,,184.74971330663033,31.445044410011555,0.17020348149510794,5.875320476501195,25.276504965289725
16221931556990-r1457839-n851693_cleaned.parquet,,,,,,189.7024458659444,53.88298685035976,0.2840394946116659,3.5206371612764045,29.885062568120286
1630138303540-r9189566-n685852_cleaned.parquet,,,,,,152.76964215399374,23.655560422114764,0.1548446411772678,6.458085939539809,21.57717604335271
16338395299931-r5130449-n139058_cleaned.parquet,,,,,,85.11251065787516,11.70711008584205,0.13754863997492514,7.270155489594795,7.089006823426975
1635269393083-r9175025-n851693_cleaned.parquet,,,,,,258.4195330641903,15.946847404994584,0.06170914100767086,16.205054610559127,5.072875199549089
16368169734477-r9352821-n976057_cleaned.parquet,213.232151470721,28.663772307954098,0.13442518921397242,7.439081959618756,15.011018604974161,202.91128344834007,27.166930183771985,0.13388575402061617,7.46905454814869,15.277199482270621
16402908602577-r3226521-n685852_cleaned.parquet,,,,,,146.28217727883526,23.91076325007443,0.16345643532839282,6.117838052634305,14.373158038684242
16420804149540-r7217787-n386398_cleaned.parquet,189.99869354868497,50.63726717246065,0.26651376505115515,3.7521514125473336,31.37748333145368,147.42125498630907,42.08827032511231,0.2854966221052794,3.5026684120670306,37.299416626860214
16525909343901-r2652301-n911952_cleaned.parquet,,,,,,300.83864836653987,45.29073710215273,0.1505482668136801,6.642387993995368,21.824083488822083
15633046135791-r9175025-n976057_cleaned.parquet,,,,,,208.00478283352226,53.6687499749522,0.2580169034762353,3.8757150656685764,20.47937787444776
1660367712073-r4858666-n911952_cleaned.parquet,,,,,,718.1162700722731,229.94815576767425,0.3202102018166664,3.122948595412152,3.000000000000789
16370734550798-r9102715-n830961_cleaned.parquet,,,,,,205.07975823937818,26.16101469717139,0.12756507478731807,7.8391362343277935,17.4563338825734
16577808136067-r2652301-n911952_cleaned.parquet,78.2559285617207,16.80679259077291,0.2147670202075149,4.656208383548682,15.273187233922057,66.37291385852377,13.21009995862914,0.1990284769896789,5.024406633287242,9.436484830309317
1669006475119-r9175025-n851693_cleaned.parquet,,,,,,122.55986491514962,6.025974165987784,0.04916759797475033,20.338597799988985,3.7002525807467066
16764780443843-r6760045-n43543_cleaned.parquet,210.15219398609747,57.47498231724355,0.2734921831034787,3.656411633606505,24.61866240665082,204.20380454129264,54.27417851868997,0.2657843649906877,3.7624485549969693,26.71881888088143
16611639520121-r8937440-n386398_cleaned.parquet,205.06823196930858,48.3270540770386,0.23566328930105296,4.243342282821697,18.07964996428872,224.85431824472226,57.13735222701161,0.2541083163225073,3.935329683310433,21.25389691840818
16808995013067-r2100214-n911952_cleaned.parquet,175.85388593822634,40.61851147733613,0.23097875409818655,4.329402519743919,16.24271146292021,170.88961424391638,33.96504605362962,0.19875430232495106,5.031337627927478,13.582332899724491
1680979411608-r3741709-n976057_cleaned.parquet,,,,,,162.62833603489767,28.544870631751767,0.17552212196050787,5.697287548887986,28.76617743344513
17006503729570-r1485405-n976057_cleaned.parquet,117.52593350941441,23.37191090487758,0.1988659881863893,5.028511959836687,17.72247588271634,125.84494867793846,26.803309427809513,0.21298677228916324,4.69512725720986,20.450522350181057
16945593028892-r629115-n43543_cleaned.parquet,,,,,,150.54082590517788,24.786497126960146,0.1646496688052753,6.073501436450873,16.890287310549095
17006503729570-r2100214-n851693_cleaned.parquet,158.22730356232537,36.498138676360554,0.23066903027886096,4.335215693199376,21.79298410565847,148.5676812212176,33.17342663092658,0.22328831114710118,4.478514772505065,21.28149200961526
17006503729570-r4858666-n976057_cleaned.parquet,156.13694743775847,31.74323801324179,0.20330382099916314,4.918746706704132,18.75016084399354,64.54635083598707,10.078793629536662,0.15614815553472539,6.4041742701060125,14.05443089220693
17006503729570-r3741709-n976057_cleaned.parquet,113.07808165644592,23.224108293182237,0.20538116629659295,4.86899562424283,19.001980595281005,136.07914246793777,25.910921134032666,0.19041067326050837,5.251806439609929,18.114555315199222
17006503729570-r629115-n976057_cleaned.parquet,120.23518959532005,26.41260965921704,0.21967453744710613,4.552188941063699,20.639008264294205,,,,,
17006503729570-r5573787-n851693_cleaned.parquet,71.22460350528735,9.382054863785896,0.13172491529685273,7.591578235191264,12.10938814390436,64.04720434638284,8.570224383416052,0.13381106124579922,7.47322374316341,12.887103232616273
