timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/04/03 19:31:35.816, 100 %, 100 %, 12984 MiB, 85, 133.89 W
2026/04/03 19:31:40.816, 100 %, 100 %, 12984 MiB, 86, 188.42 W
2026/04/03 19:31:45.817, 100 %, 100 %, 12984 MiB, 86, 182.18 W
2026/04/03 19:31:50.818, 100 %, 100 %, 12984 MiB, 86, 178.62 W
2026/04/03 19:31:55.818, 37 %, 1 %, 12984 MiB, 85, 118.86 W
2026/04/03 19:32:00.819, 100 %, 100 %, 12984 MiB, 86, 198.75 W
2026/04/03 19:32:05.819, 100 %, 100 %, 12984 MiB, 86, 187.54 W
2026/04/03 19:32:10.820, 100 %, 100 %, 12984 MiB, 86, 181.07 W
2026/04/03 19:32:15.821, 100 %, 100 %, 12984 MiB, 86, 177.71 W
2026/04/03 19:32:20.821, 17 %, 2 %, 12984 MiB, 84, 115.25 W
2026/04/03 19:32:25.822, 100 %, 100 %, 12984 MiB, 86, 199.22 W
2026/04/03 19:32:30.822, 100 %, 100 %, 12984 MiB, 86, 186.87 W
2026/04/03 19:32:35.823, 100 %, 100 %, 12984 MiB, 86, 182.10 W
2026/04/03 19:32:40.824, 48 %, 53 %, 12984 MiB, 86, 173.14 W
2026/04/03 19:32:45.824, 16 %, 2 %, 12984 MiB, 85, 125.22 W
2026/04/03 19:32:51.002, 100 %, 100 %, 12984 MiB, 86, 189.68 W
2026/04/03 19:32:56.003, 100 %, 100 %, 12984 MiB, 86, 183.94 W
2026/04/03 19:33:01.004, 100 %, 100 %, 12984 MiB, 86, 179.78 W
2026/04/03 19:33:06.004, 100 %, 100 %, 12984 MiB, 86, 175.62 W
2026/04/03 19:33:11.178, 18 %, 2 %, 12984 MiB, 84, 105.83 W
2026/04/03 19:33:16.178, 100 %, 100 %, 12984 MiB, 87, 191.04 W
2026/04/03 19:33:21.179, 100 %, 100 %, 12984 MiB, 86, 182.52 W
2026/04/03 19:33:26.180, 100 %, 100 %, 12984 MiB, 86, 177.98 W
2026/04/03 19:33:31.180, 61 %, 67 %, 12984 MiB, 85, 141.86 W
2026/04/03 19:33:36.181, 45 %, 50 %, 12984 MiB, 86, 160.82 W
2026/04/03 19:33:41.182, 100 %, 100 %, 12984 MiB, 86, 185.02 W
2026/04/03 19:33:46.182, 100 %, 100 %, 12984 MiB, 86, 179.58 W
2026/04/03 19:33:51.183, 15 %, 0 %, 12984 MiB, 84, 115.95 W
2026/04/03 19:33:56.183, 19 %, 1 %, 12984 MiB, 83, 108.59 W
2026/04/03 19:34:01.184, 0 %, 0 %, 12984 MiB, 82, 105.32 W
2026/04/03 19:34:06.185, 100 %, 100 %, 12984 MiB, 84, 170.68 W
2026/04/03 19:34:11.299, 100 %, 100 %, 12984 MiB, 85, 196.61 W
2026/04/03 19:34:16.488, 100 %, 100 %, 12984 MiB, 86, 190.10 W
2026/04/03 19:34:21.687, 100 %, 100 %, 12984 MiB, 86, 184.88 W
2026/04/03 19:34:26.886, 16 %, 2 %, 12984 MiB, 84, 128.84 W
2026/04/03 19:34:31.886, 100 %, 100 %, 12984 MiB, 86, 194.76 W
2026/04/03 19:34:36.887, 100 %, 100 %, 12984 MiB, 86, 186.44 W
2026/04/03 19:34:41.887, 100 %, 100 %, 12984 MiB, 86, 179.50 W
2026/04/03 19:34:46.888, 100 %, 100 %, 12984 MiB, 86, 178.01 W
2026/04/03 19:34:51.978, 16 %, 2 %, 12984 MiB, 85, 130.32 W
2026/04/03 19:34:56.979, 100 %, 100 %, 12984 MiB, 86, 187.61 W
2026/04/03 19:35:01.979, 100 %, 100 %, 12984 MiB, 86, 182.10 W
2026/04/03 19:35:06.980, 100 %, 100 %, 12984 MiB, 86, 177.03 W
2026/04/03 19:35:11.980, 100 %, 100 %, 12984 MiB, 86, 173.45 W
2026/04/03 19:35:16.981, 17 %, 2 %, 12984 MiB, 84, 128.55 W
2026/04/03 19:35:21.982, 100 %, 100 %, 12984 MiB, 86, 184.61 W
2026/04/03 19:35:26.984, 100 %, 100 %, 12984 MiB, 86, 179.45 W
2026/04/03 19:35:31.985, 100 %, 100 %, 12984 MiB, 86, 175.74 W
2026/04/03 19:35:36.985, 0 %, 0 %, 12984 MiB, 85, 115.51 W
2026/04/03 19:35:41.986, 0 %, 0 %, 12984 MiB, 86, 143.59 W
2026/04/03 19:35:47.055, 100 %, 100 %, 12984 MiB, 86, 185.47 W
2026/04/03 19:35:52.271, 100 %, 100 %, 12984 MiB, 86, 179.51 W
2026/04/03 19:35:57.440, 100 %, 100 %, 12984 MiB, 86, 174.71 W
2026/04/03 19:36:02.724, 18 %, 2 %, 12984 MiB, 84, 110.86 W
2026/04/03 19:36:07.725, 100 %, 100 %, 12984 MiB, 86, 196.52 W
2026/04/03 19:36:12.726, 100 %, 100 %, 12984 MiB, 86, 185.66 W
2026/04/03 19:36:17.726, 100 %, 100 %, 12984 MiB, 86, 180.26 W
