epoch,train_rmse,val_rmse,train_mae,val_mae,current_lr,C,h_base_0,h_base_1,h_active_0,h_active_1,T_thresh_0,T_thresh_1,beta_0,beta_1,k01,k10,q0,q1,epoch_time_sec
74,3.482456,3.555605,2.422778,2.579424,0.010000,956.5338,3.6774,4.0737,9.3623,9.6876,70.5092,66.6989,0.8043,0.6430,0.0318,0.0085,-6.8647,-7.2588,341.04
75,3.480534,3.553111,2.421081,2.576988,0.010000,957.7048,3.6755,4.0725,9.4139,9.7338,70.4981,66.6851,0.8110,0.6484,0.0317,0.0084,-6.8931,-7.2855,339.20
76,3.478201,3.550707,2.419173,2.574641,0.010000,958.8266,3.6738,4.0714,9.4648,9.7790,70.4874,66.6716,0.8175,0.6538,0.0316,0.0084,-6.9213,-7.3119,341.75
77,3.476517,3.548380,2.417304,2.572374,0.010000,959.9016,3.6721,4.0703,9.5151,9.8234,70.4765,66.6585,0.8241,0.6591,0.0314,0.0083,-6.9492,-7.3380,340.92
78,3.474543,3.546063,2.415602,2.570080,0.010000,960.9333,3.6704,4.0690,9.5644,9.8667,70.4668,66.6462,0.8306,0.6645,0.0313,0.0083,-6.9768,-7.3639,339.74
79,3.471727,3.543864,2.413346,2.567933,0.010000,961.9236,3.6686,4.0679,9.6135,9.9096,70.4558,66.6330,0.8370,0.6698,0.0312,0.0082,-7.0041,-7.3895,342.64
80,3.470488,3.541696,2.412107,2.565792,0.010000,962.8740,3.6667,4.0667,9.6619,9.9516,70.4454,66.6206,0.8434,0.6751,0.0310,0.0082,-7.0311,-7.4148,342.76
81,3.469100,3.539573,2.410659,2.563688,0.010000,963.7880,3.6649,4.0654,9.7096,9.9928,70.4354,66.6085,0.8498,0.6804,0.0309,0.0081,-7.0578,-7.4399,346.20
82,3.467071,3.537543,2.408975,2.561701,0.010000,964.6669,3.6631,4.0642,9.7569,10.0337,70.4249,66.5953,0.8561,0.6857,0.0308,0.0080,-7.0842,-7.4647,340.99
83,3.465915,3.535564,2.407757,2.559760,0.010000,965.5128,3.6614,4.0630,9.8035,10.0738,70.4149,66.5824,0.8624,0.6909,0.0307,0.0080,-7.1104,-7.4893,340.86
84,3.464093,3.533694,2.406117,2.557967,0.010000,966.3277,3.6599,4.0620,9.8498,10.1134,70.4043,66.5693,0.8686,0.6961,0.0305,0.0079,-7.1364,-7.5137,341.61
85,3.462399,3.531866,2.404697,2.556215,0.010000,967.1127,3.6583,4.0610,9.8954,10.1525,70.3941,66.5557,0.8748,0.7013,0.0304,0.0079,-7.1622,-7.5378,344.44
86,3.460538,3.530002,2.403125,2.554372,0.010000,967.8692,3.6566,4.0598,9.9403,10.1902,70.3849,66.5443,0.8810,0.7065,0.0303,0.0078,-7.1876,-7.5616,346.58
87,3.458946,3.528184,2.401561,2.552563,0.010000,968.5990,3.6549,4.0586,9.9845,10.2273,70.3764,66.5330,0.8871,0.7117,0.0302,0.0078,-7.2127,-7.5852,344.63
88,3.457873,3.526427,2.400444,2.550835,0.010000,969.3032,3.6531,4.0574,10.0285,10.2640,70.3671,66.5211,0.8932,0.7168,0.0301,0.0077,-7.2376,-7.6086,345.21
89,3.456583,3.524737,2.399212,2.549180,0.010000,969.9833,3.6515,4.0564,10.0719,10.3000,70.3583,66.5093,0.8992,0.7219,0.0299,0.0077,-7.2622,-7.6317,345.04
90,3.455069,3.523131,2.397947,2.547645,0.010000,970.6403,3.6501,4.0554,10.1150,10.3356,70.3488,66.4971,0.9052,0.7270,0.0298,0.0076,-7.2867,-7.6547,350.74
91,3.453090,3.521490,2.396340,2.546025,0.010000,971.2753,3.6483,4.0542,10.1574,10.3705,70.3400,66.4854,0.9112,0.7321,0.0297,0.0076,-7.3108,-7.6773,345.52
92,3.452248,3.519902,2.395541,2.544477,0.010000,971.8891,3.6467,4.0530,10.1995,10.4048,70.3312,66.4740,0.9171,0.7371,0.0296,0.0075,-7.3347,-7.6997,340.39
93,3.451318,3.518374,2.394528,2.542998,0.010000,972.4828,3.6452,4.0519,10.2411,10.4384,70.3224,66.4628,0.9230,0.7422,0.0295,0.0075,-7.3583,-7.7219,340.53
94,3.449723,3.516916,2.393068,2.541611,0.010000,973.0574,3.6438,4.0510,10.2824,10.4716,70.3136,66.4510,0.9289,0.7472,0.0293,0.0074,-7.3817,-7.7439,348.50
95,3.448900,3.515429,2.392291,2.540157,0.010000,973.6136,3.6421,4.0499,10.3230,10.5043,70.3057,66.4395,0.9347,0.7521,0.0292,0.0074,-7.4049,-7.7656,343.66
96,3.447124,3.514007,2.390786,2.538798,0.010000,974.1526,3.6407,4.0488,10.3634,10.5363,70.2970,66.4284,0.9404,0.7571,0.0291,0.0073,-7.4278,-7.7871,339.04
97,3.446376,3.512615,2.390049,2.537462,0.010000,974.6746,3.6392,4.0477,10.4034,10.5678,70.2886,66.4172,0.9462,0.7620,0.0290,0.0073,-7.4505,-7.8083,361.36
98,3.445696,3.511208,2.389147,2.536066,0.010000,975.1811,3.6376,4.0466,10.4427,10.5985,70.2814,66.4071,0.9519,0.7670,0.0289,0.0072,-7.4729,-7.8294,343.49
99,3.444243,3.509863,2.388024,2.534773,0.010000,975.6721,3.6360,4.0454,10.4820,10.6291,70.2729,66.3960,0.9575,0.7719,0.0288,0.0072,-7.4951,-7.8502,341.23
100,3.442947,3.508595,2.386776,2.533581,0.010000,976.1482,3.6347,4.0445,10.5210,10.6591,70.2644,66.3853,0.9631,0.7768,0.0286,0.0071,-7.5171,-7.8708,342.72
101,3.442088,3.507302,2.386008,2.532321,0.010000,976.6104,3.6332,4.0434,10.5594,10.6886,70.2567,66.3746,0.9687,0.7816,0.0285,0.0071,-7.5388,-7.8912,346.82
102,3.440968,3.506036,2.385108,2.531064,0.010000,977.0591,3.6316,4.0425,10.5973,10.7175,70.2496,66.3641,0.9743,0.7864,0.0284,0.0070,-7.5603,-7.9114,341.23
103,3.439955,3.504786,2.384113,2.529837,0.010000,977.4950,3.6300,4.0414,10.6350,10.7461,70.2422,66.3534,0.9798,0.7913,0.0283,0.0070,-7.5815,-7.9313,342.92
104,3.438534,3.503634,2.382905,2.528761,0.010000,977.9183,3.6288,4.0405,10.6725,10.7742,70.2340,66.3428,0.9853,0.7960,0.0282,0.0069,-7.6026,-7.9511,342.78
105,3.438115,3.502474,2.382387,2.527634,0.010000,978.3297,3.6275,4.0396,10.7094,10.8017,70.2273,66.3328,0.9907,0.8008,0.0281,0.0069,-7.6235,-7.9706,340.19
106,3.437317,3.501323,2.381780,2.526524,0.010000,978.7293,3.6261,4.0386,10.7462,10.8290,70.2198,66.3217,0.9961,0.8055,0.0280,0.0068,-7.6441,-7.9899,343.42
107,3.436089,3.500185,2.380643,2.525411,0.010000,979.1182,3.6246,4.0375,10.7826,10.8553,70.2125,66.3126,1.0015,0.8103,0.0279,0.0068,-7.6645,-8.0091,341.63
108,3.435426,3.499074,2.379949,2.524329,0.010000,979.4964,3.6233,4.0365,10.8186,10.8816,70.2058,66.3028,1.0068,0.8150,0.0278,0.0068,-7.6846,-8.0280,349.91
109,3.434377,3.497977,2.379180,2.523262,0.010000,979.8643,3.6218,4.0354,10.8545,10.9074,70.1982,66.2928,1.0121,0.8197,0.0277,0.0067,-7.7046,-8.0466,350.07
110,3.433883,3.496918,2.378519,2.522218,0.010000,980.2224,3.6205,4.0345,10.8899,10.9326,70.1918,66.2833,1.0174,0.8244,0.0276,0.0067,-7.7243,-8.0652,351.87
111,3.432607,3.495903,2.377588,2.521248,0.010000,980.5710,3.6192,4.0337,10.9253,10.9578,70.1844,66.2729,1.0226,0.8290,0.0275,0.0066,-7.7439,-8.0835,345.14
