timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/24 10:51:35.338, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:35.338, 93 %, 42 %, 1597 MiB, 84
2026/03/24 10:51:40.338, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:40.339, 88 %, 42 %, 1597 MiB, 85
2026/03/24 10:51:45.339, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:45.339, 86 %, 42 %, 1597 MiB, 85
2026/03/24 10:51:50.340, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:50.340, 82 %, 33 %, 1597 MiB, 84
2026/03/24 10:51:55.341, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:55.341, 91 %, 36 %, 1597 MiB, 84
2026/03/24 10:52:00.342, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:52:00.342, 22 %, 15 %, 1597 MiB, 84
2026/03/24 10:52:05.342, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:52:05.342, 43 %, 29 %, 1597 MiB, 85
2026/03/24 10:52:10.343, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:52:10.343, 42 %, 29 %, 1597 MiB, 85
2026/03/24 10:52:15.344, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:52:15.344, 51 %, 35 %, 1597 MiB, 84
2026/03/24 10:52:20.345, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:52:20.345, 50 %, 35 %, 1597 MiB, 85
2026/03/24 10:52:25.345, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:52:25.345, 37 %, 24 %, 1597 MiB, 84
