======================================================================
--- STARTING: 05_NORMALIZE_CLEANED_DUAL_GPU_DATA ---
======================================================================
Found 1 cleaned dual GPU directories. Using 8 cores.


--- Processing Directory: dual_gpu_0000_parquet_to_0019_parquet_cleaned ---
[*] Created shortcut for dual_gpu_0000_parquet_to_0019_parquet_cleaned_normalized in outputs folder.

Pass 1: Finding ACTUAL global max power...

ACTUAL GLOBAL MAX POWER DRAW = 332.510 W

Pass 2: Analyzing GLOBAL power draw distribution...

GLOBAL POWER DRAW SCALE (P99.9) = 267.500 W

Starting parallel processing on 6631 files...
[DEBUG] Skipped 54460226684868-r1457839-n911952_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 5455808387498-r8062914-n208530_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 54844555589222-r8607415-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 56154200252460-r1485405-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 56500072272599-r1457839-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 56546032826384-r3475376-n136082_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 57013749321515-r5189505-n851693_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 5731268335817-r3741709-n43543_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 5731268335817-r629115-n43543_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 5731268335817-r7343737-n43543_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 5731268335817-r9102715-n43543_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 5731268335817-r9352821-n43543_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 57691452568269-r4229531-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 578552804018-r4229531-n851693_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 58613730527236-r3405251-n136082_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 59655049713760-r5715171-n139058_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 60749840495442-r9040233-n911952_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 60798346747052-r1485405-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 61223182584619-r1682297-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 61861790688617-r4774426-n172998_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 6312715221660-r9192091-n911952_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 63508315976158-r5130449-n139058_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 63761743752191-r4229531-n911952_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 64450375855296-r9189566-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
